C0,N0,U0,S0,C1,N1,U1,S1,K1,C2,N2,U2,S2,K2,IS,FID
1,1,1,1,1,0,1,1,0,1,0,1,1,1,7.975290775,32.74456999
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.410022736,19.03899563
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.681124687,19.46027773
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.173129082,20.99278088
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.876742363,20.91619439
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.595381737,18.43154178
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.628829002,21.62791357
0,0,1,1,1,0,0,1,1,1,0,1,1,3,8.643995285,19.34031967
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.247670174,18.96693075
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.15953064,22.74787773
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.221731186,21.19390025
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.302820206,19.04518576
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.629696846,16.74290735
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.254087448,20.94861523
0,0,1,1,1,0,1,1,1,0,0,0,1,1,8.539549828,21.38581113
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.80670166,18.07092055
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.525258064,19.69498576
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.621492386,16.81342229
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.906731606,17.67408745
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.596033096,13.63402766
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.785921097,13.89973278
0,0,1,1,1,0,1,1,1,1,0,1,1,1,8.73125267,14.75416087
